210,125
304,134
372,140
249,144
195,156
170,156
173,129
167,181
181,203
205,196
215,168
243,185
276,191
315,215
352,197
369,185
386,199
372,206
364,220
394,171
411,175
428,164
424,135
470,143
457,176
467,213
501,212
508,196
515,178
585,193
563,131
526,139
508,124
599,117
628,119
642,134
702,144
726,123
492,121
489,131
619,158
665,155
685,169
717,213
622,175
642,171
638,231
647,246
670,247
700,261
662,302
558,292
511,236
521,271
487,285
447,249
417,237
404,245
377,256
346,272
335,291
374,283
401,279
419,270
421,291
362,306
304,287
241,288
207,244
171,249
191,299
200,275
172,341
159,321
153,294
314,169
337,181
375,330
390,318
389,330
399,341
423,314
444,316
461,304
455,284
501,311
519,317
558,343
625,356
702,357
691,445
643,401
578,414
601,462
549,482
529,466
549,445
521,436
473,444
452,482
489,484
419,473
401,440
410,451
389,464
382,451
385,437
363,431
379,397
381,377
370,376
399,372
427,362
408,395
428,378
444,383
464,375
464,355
488,357
502,353
479,375
500,374
514,364
533,379
516,396
495,406
532,396
435,419
311,434
331,467
351,482
349,411
317,389
338,363
262,403
271,461
190,462
249,483
194,399
218,362
161,381
187,363
162,357
191,347
263,333
209,326
187,319
178,322
278,295
167,425
155,273
342,239
504,264
539,241
559,243
554,231
547,250
548,262
607,253
596,274
709,279
718,298
731,286
722,267
674,186
596,311
472,332
528,355
429,343
478,403
487,401
501,391
476,390
395,407
372,353
365,343
365,333
437,337
502,335
521,329
612,337
576,251
590,238
469,484
489,225
605,195
494,145
496,157
692,157
374,482
387,219
394,232
329,158
450,123
698,124
573,119
514,206
494,265
473,271
675,420
