155,112
218,123
195,156
151,164
171,199
215,211
187,252
157,274
150,255
162,301
260,154
308,172
344,112
297,106
322,103
380,117
405,107
433,145
375,157
406,187
396,200
380,197
373,230
231,245
251,247
246,270
193,299
249,307
174,333
218,347
275,350
168,379
155,445
211,452
233,417
296,399
283,463
247,491
305,326
358,324
350,298
361,274
338,249
330,272
322,214
355,348
337,372
358,398
398,387
400,362
436,386
421,410
376,441
358,489
384,338
462,117
444,123
475,127
541,171
515,181
488,151
506,123
528,111
522,145
539,147
570,132
581,177
561,212
516,205
485,189
493,201
490,220
457,215
435,188
469,231
447,227
434,243
402,297
455,288
481,267
423,261
440,273
449,297
450,321
463,351
477,299
498,306
497,287
508,278
515,292
517,309
430,352
423,345
478,396
527,347
570,332
543,289
573,268
529,255
597,219
607,200
629,164
670,145
701,195
618,135
607,118
637,228
678,240
678,266
627,284
600,295
607,312
587,305
595,322
602,338
640,328
628,332
612,334
641,339
652,332
685,298
687,343
629,345
649,353
668,387
666,376
697,400
686,448
685,490
653,478
616,438
576,484
547,465
565,419
576,404
582,391
482,456
434,445
628,374
646,402
558,401
528,412
503,325
228,394
509,483
170,112
219,125
194,155
153,160
171,198
214,207
261,150
306,171
297,107
323,102
339,112
343,137
374,155
383,119
404,106
406,186
396,197
381,197
371,232
327,209
321,221
330,226
337,233
338,249
306,256
274,231
296,224
255,248
229,244
245,269
188,251
150,252
157,272
331,270
289,281
252,306
162,300
178,328
194,295
223,280
222,345
167,383
237,392
236,420
208,447
156,444
152,416
278,466
295,401
358,398
394,386
421,409
375,438
364,485
311,326
352,308
359,325
360,280
403,300
451,318
435,448
486,455
477,397
512,386
611,432
686,449
526,410
566,420
550,461
576,486
654,479
391,361
433,387
466,356
360,343
384,336
432,353
424,346
502,321
514,306
514,291
507,279
497,288
496,307
483,304
461,219
518,208
486,191
492,202
490,223
451,231
444,246
421,263
441,272
455,286
449,299
431,144
438,188
446,120
461,118
476,125
493,152
523,142
524,117
540,146
574,134
583,173
542,170
518,187
556,212
610,200
634,158
612,119
614,132
632,119
673,150
704,195
639,230
597,220
579,262
525,247
627,282
678,240
679,267
682,305
601,296
575,302
588,304
573,334
597,321
612,331
628,330
639,328
654,332
641,339
628,347
649,354
620,351
618,345
601,352
588,333
632,364
631,401
644,394
646,408
693,402
665,386
663,376
687,349
682,488
577,390
574,403
541,288
389,408
418,393
